Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
"Fairway Road, Oldbury, B68",170000,2019-10-31,https://www.rightmove.co.uk/property-for-sale/property-86114507.html,52.4770605326245,-2.01674078586621,E01010001,Sandwell 037A,E14001016
"Ferguson Drive, Tipton",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64878777.html,52.5309909392898,-2.0493395493518,E01009976,Sandwell 016A,E14001030
"Frances Road, Erdington, Birmingham, West Midlands, B23",180000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73583542.html,52.5211200235079,-1.86038922519443,E01009412,Birmingham 030C,E14000561
"Frankley Beeches Road, Birmingham, B31",180000,2019-09-08,https://www.rightmove.co.uk/property-for-sale/property-64916388.html,52.4107139862031,-1.98143281526993,E01009207,Birmingham 124B,E14000565
"George Road , Erdington",190000,2019-10-25,https://www.rightmove.co.uk/property-for-sale/property-74301514.html,52.5169855490727,-1.86113912885989,E01009414,Birmingham 030E,E14000561
"Gladstone Street, West Bromwich, B71",180000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64574274.html,52.5284840331807,-1.99641901213543,E01009992,Sandwell 017B,E14001029
"Glenville Drive, Birmingham",195000,2019-09-21,https://www.rightmove.co.uk/property-for-sale/property-84933170.html,52.5263228323987,-1.85108681405192,E01009409,Birmingham 026C,E14000561
"Gotham Road, West Midlands, Birmingham, B26",200000,2019-09-28,https://www.rightmove.co.uk/property-for-sale/property-65371236.html,52.4591881155613,-1.80333501677265,E01008888,Birmingham 076C,E14000568
"Graham Road, Birmingham, B25",180000,2019-11-04,https://www.rightmove.co.uk/property-for-sale/property-65988168.html,52.4605633001049,-1.82010700302115,E01008887,Birmingham 078C,E14000568
"HAGLEY, Stourbridge Road",189950,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-84190331.html,52.4292551061376,-2.12834995361839,E01032141,Bromsgrove 001D,E14000605
"Hales Crescent, Smethwick, B67",175000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-63951267.html,52.4845220757427,-1.98228573352275,E01009943,Sandwell 031B,E14001016
"Hall Road, Smethwick, United Kingdom, Birmingham, B67",180000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64740930.html,52.4895561930534,-1.98066373905465,E01010056,Sandwell 028C,E14001016
"Handley Grove, Birmingham, B31 5JH",172500,2019-09-28,https://www.rightmove.co.uk/property-for-sale/property-85177163.html,52.4070295047414,-1.99951508635214,E01033633,Birmingham 125G,E14000565
"Haunchwood Drive, Sutton Coldfield",195000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-63344172.html,52.5355948883495,-1.79871888908089,E01009439,Birmingham 021A,E14000985
"Hawkhurst Road, Maypole, Birmingham, B14",179950,2019-09-28,https://www.rightmove.co.uk/property-for-sale/property-65370441.html,52.4069752135185,-1.88662079257326,E01008948,Birmingham 122D,E14000567
"Heather Road, Small Heath, Birmingham, West Midlands, B10",165000,2019-10-03,https://www.rightmove.co.uk/property-for-sale/property-65495355.html,52.4672495084296,-1.84377876454561,E01009335,Birmingham 139G,E14000563
"Heston Avenue, Great Barr",185000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73408885.html,52.5412230495009,-1.92048347940392,E01009246,Birmingham 016D,E14000566
"Hillstone Road, Birmingham, B34",175000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73658086.html,52.4925659553952,-1.76754381119824,E01009306,Birmingham 046B,E14000563
"Holloway, Birmingham, B31",180000,2019-10-09,https://www.rightmove.co.uk/property-for-sale/property-62169603.html,52.4213225347042,-1.98334001369761,E01008930,Birmingham 106D,E14000560
"Holly Lane, Erdington, Birmingham",180000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-75750314.html,52.5204389143411,-1.8217787861019,E01009011,Birmingham 028B,E14000561
"Hunton Hill, Birmingham, B23",160000,2019-10-21,https://www.rightmove.co.uk/property-for-sale/property-54752619.html,52.5168869627829,-1.8539185834883,E01009413,Birmingham 030D,E14000561
"Hutton Road, Handsworth, BIRMINGHAM",175000,2019-10-09,https://www.rightmove.co.uk/property-for-sale/property-85435190.html,52.5131670416233,-1.90992462655805,E01009050,Birmingham 035A,E14000566
"Ilsley Drive, Acocks Green",199950,2019-09-15,https://www.rightmove.co.uk/property-for-sale/property-60960150.html,52.4447538527029,-1.82885160868852,E01009018,Birmingham 090B,E14000568
"Jutland Road, Birmingham",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-83528045.html,52.4321310099085,-1.87067159725602,E01008933,Birmingham 105A,E14000562
"Kempson Road, Birmingham",175000,2019-09-25,https://www.rightmove.co.uk/property-for-sale/property-64916763.html,52.5062924874795,-1.80150451352329,E01009080,Birmingham 038B,E14000563
"Kendal Rise Road, Birmingham, B45",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-63469692.html,52.3931845791255,-2.00686275218783,E01009167,Birmingham 130C,E14000565
"Kendal Rise Road, Rednal, Birmingham",175000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73779685.html,52.3931845791255,-2.00686275218783,E01009167,Birmingham 130C,E14000565
"Kirkwood Avenue, Erdington, Birmingham",185000,2019-09-27,https://www.rightmove.co.uk/property-for-sale/property-84025172.html,52.5381781714731,-1.84234807166047,E01009460,Birmingham 018E,E14000561
"Knightwick Crescent, BIRMINGHAM",170000,2019-10-01,https://www.rightmove.co.uk/property-for-sale/property-85244582.html,52.5287658629206,-1.86419753583877,E01009126,Birmingham 026A,E14000561
"Lansdowne Street, Winson Green B18 7EE",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-82205759.html,52.4891797852181,-1.93397878121887,E01009345,Birmingham 053D,E14000564
"Larchmere Drive, Birmingham",170000,2019-10-05,https://www.rightmove.co.uk/property-for-sale/property-65170974.html,52.435509415825,-1.83977223944769,E01009030,Birmingham 098D,E14000562
"Larchmere Drive, Birmingham",180000,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-65170974.html,52.435509415825,-1.83977223944769,E01009030,Birmingham 098D,E14000562
"Lickey Road, Rednal, Birmingham, West Midlands, B45",179950,2019-10-25,https://www.rightmove.co.uk/property-for-sale/property-65956905.html,52.388869520136,-1.99789886339388,E01009163,Birmingham 129B,E14000565
"Linton Walk, Erdington, Birmingham, West Midlands, B23",170000,2019-09-21,https://www.rightmove.co.uk/property-for-sale/property-62765427.html,52.5188823238603,-1.86894382661655,E01009411,Birmingham 030B,E14000561
"Livingstone Road, West Bromwich",175000,2019-10-17,https://www.rightmove.co.uk/property-for-sale/property-85662128.html,52.5114031982911,-2.00437697912191,E01009989,Sandwell 019C,E14001029
"Longmeadow Crescent, Shard End",175000,2019-10-15,https://www.rightmove.co.uk/property-for-sale/property-65742966.html,52.4984878406305,-1.76176779647158,E01009308,Birmingham 046C,E14000563
Lottie Road,170000,2019-09-08,https://www.rightmove.co.uk/property-for-sale/property-74016631.html,52.4397371430184,-1.93817140105165,E01009284,Birmingham 096A,E14000567
"Lower Queen Street, Sutton Coldfield",199999,2019-09-08,https://www.rightmove.co.uk/property-for-sale/property-73995850.html,52.5599954604976,-1.82250381892019,E01009449,Birmingham 009A,E14000985
"Loynells Road, Rubery, Birmingham, B45",199950,2019-10-19,https://www.rightmove.co.uk/property-for-sale/property-65841531.html,52.3939936418148,-2.00759765561421,E01009167,Birmingham 130C,E14000565
"Mace Street, Cradley Heath. Halesowen.",170000,2019-10-09,https://www.rightmove.co.uk/property-for-sale/property-85437422.html,52.4764111303423,-2.07092082345191,E01009955,Sandwell 035C,E14000722
"Melia Drive, Wednesbury",190000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-84260387.html,52.5539253271335,-2.00408648724541,E01010092,Sandwell 003E,E14001029
"New John Street, Halesowen",175000,2019-10-01,https://www.rightmove.co.uk/property-for-sale/property-65423910.html,52.4710323910905,-2.03778964775032,E01009795,Dudley 026C,E14000722
"New John Street, Halesowen",190000,2019-10-01,https://www.rightmove.co.uk/property-for-sale/property-65423931.html,52.4710323910905,-2.03778964775032,E01009795,Dudley 026C,E14000722
