Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
"Topland Grove, Longbridge, Birmingham, B31 5JJ",179950,2019-09-27,https://www.rightmove.co.uk/property-for-sale/property-85142678.html,52.4079285109906,-1.99936808093645,E01033633,Birmingham 125G,E05011136
"Topland Grove, Northfield, Birmingham, B31 5JG",175000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-60260004.html,52.4078386115765,-1.99980908355881,E01033633,Birmingham 125G,E05011136
"Topland Grove, Northfield, Birmingham, West Midlands, B31",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73956058.html,52.4078386115765,-1.99980908355881,E01033633,Birmingham 125G,E05011136
"Topland Grove, Rubery",175000,2020-01-09,https://www.rightmove.co.uk/property-for-sale/property-88152413.html,52.4078386115765,-1.99980908355881,E01033633,Birmingham 125G,E05011136
"Tresham Road, Great Barr, B44",150000,2019-12-20,https://www.rightmove.co.uk/property-for-sale/property-66693996.html,52.5465922649644,-1.88965387389783,E01009226,Birmingham 017A,E05011159
"Trimpley Road, Birmingham",150000,2020-01-07,https://www.rightmove.co.uk/property-for-sale/property-75034477.html,52.4384944329846,-2.00731136790225,E01008917,Birmingham 102A,E05011123
"Tudor Street, Winson Green, Birmingham, B18 4DG",174950,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-50206890.html,52.4893643913678,-1.94325666084101,E01009346,Birmingham 053E,E05011157
"Turnberry Road, Birmingham",160000,2019-09-25,https://www.rightmove.co.uk/property-for-sale/property-65324670.html,52.5393302189687,-1.91340979392965,E01009236,Birmingham 019B,E05011160
"Turnberry Road, Birmingham",170000,2019-10-25,https://www.rightmove.co.uk/property-for-sale/property-65938674.html,52.5393302189687,-1.91340979392965,E01009236,Birmingham 019B,E05011160
"Turnberry Road, Birmingham",193333,2019-10-13,https://www.rightmove.co.uk/property-for-sale/property-85573634.html,52.5393302189687,-1.91340979392965,E01009236,Birmingham 019B,E05011160
"Turnberry Road, Birmingham",193500,2019-10-15,https://www.rightmove.co.uk/property-for-sale/property-85573634.html,52.5393302189687,-1.91340979392965,E01009236,Birmingham 019B,E05011160
"Turnberry Road, Birmingham, B42",164950,2019-11-20,https://www.rightmove.co.uk/property-for-sale/property-86741279.html,52.5393302189687,-1.91340979392965,E01009236,Birmingham 019B,E05011160
"Turnberry Road, Great Barr",193333,2019-10-15,https://www.rightmove.co.uk/property-for-sale/property-85630889.html,52.5393302189687,-1.91340979392965,E01009236,Birmingham 019B,E05011160
"Turnberry Road, Great Barr",193500,2019-10-11,https://www.rightmove.co.uk/property-for-sale/property-74674816.html,52.5393302189687,-1.91340979392965,E01009236,Birmingham 019B,E05011160
"Turnhouse Road, Birmingham",150000,2019-10-23,https://www.rightmove.co.uk/property-for-sale/property-64712595.html,52.5224361781005,-1.77991392053152,E01009106,Birmingham 029F,E05011132
"Turnley Road, Birmingham",190000,2019-10-11,https://www.rightmove.co.uk/property-for-sale/property-65656764.html,52.497074840861,-1.77473767943554,E01009304,Birmingham 046A,E05011165
"Turves Green, Northfield, Birmingham, B31",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-72810070.html,52.4005528572959,-1.96997285976439,E01009213,Birmingham 124E,E05011152
"Twyford Road, Birmingham",185000,2020-01-05,https://www.rightmove.co.uk/property-for-sale/property-76509466.html,52.4940988096807,-1.8220324226769,E01009481,Birmingham 044D,E05011183
"Twyford Road, Birmingham, B8",195000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-78679763.html,52.4940996939167,-1.82262157222769,E01009481,Birmingham 044D,E05011183
"Tyburn Road, Birmingham",150000,2019-12-20,https://www.rightmove.co.uk/property-for-sale/property-66930207.html,52.5087909118542,-1.8498199334835,E01009401,Birmingham 031F,E05011139
"Upavon Close, Birmingham",168500,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64408098.html,52.5228165814863,-1.79140800404835,E01009096,Birmingham 029A,E05011132
"Upper Meadow Road,  Birmingham, B32",180000,2020-01-19,https://www.rightmove.co.uk/property-for-sale/property-87975203.html,52.456564557936,-1.99774888450351,E01009249,Birmingham 080A,E05011163
"Upper Meadow Road,  Birmingham, B32",200000,2020-01-05,https://www.rightmove.co.uk/property-for-sale/property-87975203.html,52.456564557936,-1.99774888450351,E01009249,Birmingham 080A,E05011163
"Upper Meadow, Quinton, Birmingham, West Midlands, B32",180000,2020-01-19,https://www.rightmove.co.uk/property-for-sale/property-87541196.html,52.456564557936,-1.99774888450351,E01009249,Birmingham 080A,E05011163
"Upper Meadow, Quinton, Birmingham, West Midlands, B32",200000,2019-12-18,https://www.rightmove.co.uk/property-for-sale/property-87541196.html,52.456564557936,-1.99774888450351,E01009249,Birmingham 080A,E05011163
"Uxbridge Street, Birmingham",160000,2019-10-11,https://www.rightmove.co.uk/property-for-sale/property-65587389.html,52.4920349210005,-1.90260361904109,E01008914,Birmingham 050C,E05011156
"Vanguard Close, Bromford, Birmingham, West Midlands, B36",175000,2020-01-09,https://www.rightmove.co.uk/property-for-sale/property-67480974.html,52.5076495004893,-1.80665508477622,E01009079,Birmingham 038A,E05011131
"Verney Avenue, Birmingham",165000,2020-01-01,https://www.rightmove.co.uk/property-for-sale/property-87891752.html,52.4664964451706,-1.76826979288211,E01009321,Birmingham 069C,E05011166
"Verney Avenue, Birmingham",168000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-78878846.html,52.4664964451706,-1.76826979288211,E01009321,Birmingham 069C,E05011166
"Verney Avenue, Birmingham, B33",170000,2019-11-06,https://www.rightmove.co.uk/property-for-sale/property-64357599.html,52.4664964451706,-1.76826979288211,E01009321,Birmingham 069C,E05011166
"Verney Avenue, Birmingham, B33",175000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64357599.html,52.4664964451706,-1.76826979288211,E01009321,Birmingham 069C,E05011166
"Vicarage Grove, Acocks Green, Birmingham, B27",195000,2019-11-12,https://www.rightmove.co.uk/property-for-sale/property-85385354.html,52.4354979743102,-1.83153508428466,E01009022,Birmingham 098B,E05011118
"Vicarage Grove, Acocks Green, Birmingham, B27",200000,2019-09-15,https://www.rightmove.co.uk/property-for-sale/property-73365484.html,52.4354979743102,-1.83153508428466,E01009022,Birmingham 098B,E05011118
"Village Mews, Quinton, Birmingham, B32 1AE",175000,2019-10-03,https://www.rightmove.co.uk/property-for-sale/property-65497017.html,52.45989022565,-2.01231895260198,E01009250,Birmingham 080B,E05011163
"Village Road, Birmingham",150000,2019-12-14,https://www.rightmove.co.uk/property-for-sale/property-87455081.html,52.5106249765344,-1.88163987594372,E01008916,Birmingham 037E,E05011121
"Vincent Street, Balsall Heath, Birmingham, West Midlands, B12",200000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73201645.html,52.4584003188886,-1.88884376182896,E01009374,Birmingham 084B,E05011122
